optionType,materialId,materialName,family,group,name,uuid,price,price_units,displayName,deviationFrom,deviationTo,margin,rawGroup
post_production,71497,St52 / S355J2,Steel,Finishing,Polishing,402226d5-6603-4d24-82b5-9a5a36964730,0.005,per_cm_2,,,,,Finishing
post_production,71497,St52 / S355J2,Steel,Inspection,Measurement report,f79b6bb3-3df3-4c3b-9146-30d2dee71312,1000,per_model,,,,,Inspection
post_production,71497,St52 / S355J2,Steel,Finishing,Electroless Nickel Plating,c631a696-b030-45b6-ba91-21f3be484a1f,1.179,per_cm_3,,,,,Finishing
post_production,71497,St52 / S355J2,Steel,Finishing,Galvanizing,08229460-ddb1-43d7-9e0d-db951df09fe7,0.1572,per_cm_3,,,,,Finishing
post_production,71497,St52 / S355J2,Steel,Finishing,Powder Coating,8c1c6c12-84f5-4d63-abc0-cd87df87dc93,0.01,per_cm_2,,,,,Finishing
post_production,71497,St52 / S355J2,Steel,Finishing,Bead Blasting,e4d41702-0478-483b-a683-517158beedde,0.005,per_cm_2,,,,,Finishing
post_production,71497,St52 / S355J2,Steel,Inspection,CMM,b94e0445-b530-40dd-975f-e20c61cc7736,1000,per_model,,,,,Inspection
post_production,71497,St52 / S355J2,Steel,Inspection,First Article Inspection Report (FAIR),8290ad96-f397-4adb-8b5c-9fab22b379a9,1000,per_model,,,,,Inspection
post_production,71497,St52 / S355J2,Steel,Heat Treatment,Heat Treating,00249677-d568-4b27-8f5f-d5556f0648f2,0.7074,per_cm_3,,,,,
post_production,71497,St52 / S355J2,Steel,Surface Roughness,Standard (3.2um RA),b6753a84-c3d8-43c9-b361-773a6319c21f,0,per_cm_2,,,,,Surface Roughness
post_production,71497,St52 / S355J2,Steel,Surface Roughness,Smooth (1.6um RA),269da95f-e10e-4de7-af42-0b98aaf55e5d,0,per_cm_2,,,,,Surface Roughness
post_production,71497,St52 / S355J2,Steel,Surface Roughness,Fine (0.8um RA),132e16f5-848c-4b27-b443-540e059a609b,0,per_cm_2,,,,,Surface Roughness
tolerance,71497,St52 / S355J2,Steel,Tolerance,ISO 2768-Stanard,78bd2907-7b21-466e-b612-8bf71336a9b5,,,-10.0mm...0.0mm,10,0,0,
tolerance,71497,St52 / S355J2,Steel,Tolerance,ISO 28768-Fine (Require Drawings),8e86287c-c28f-4af0-85f1-bdb8998f3e98,,,-5.0mm...0.0mm,5,0,20,
tolerance,71497,St52 / S355J2,Steel,Tolerance,ISO 2768-Course,4585cfd6-7463-4830-a18d-2761af3ed72f,,,-10.0mm...0.0mm,10,0,-10,
post_production,72324,42CrMo4 / 1.7225 / AISI 4140,Steel,Finishing,Polishing,c30ec5c0-2d55-412d-b304-c79fe4c32c76,0.005,per_cm_2,,,,,Finishing
post_production,72324,42CrMo4 / 1.7225 / AISI 4140,Steel,Inspection,Measurement report,e5de129d-3cfb-416c-91e5-e6552fdca967,1000,per_model,,,,,Inspection
post_production,72324,42CrMo4 / 1.7225 / AISI 4140,Steel,Finishing,Electroless Nickel Plating,4525533e-df6a-4bf4-b58f-5abd95296784,1.179,per_cm_3,,,,,Finishing
post_production,72324,42CrMo4 / 1.7225 / AISI 4140,Steel,Finishing,Galvanizing,5d77002c-6867-4d40-9e40-b230d26af31c,0.1572,per_cm_3,,,,,F
post_production,72324,42CrMo4 / 1.7225 / AISI 4140,Steel,Finishing,Powder Coating,d2eb499d-185e-4525-b195-7bc6d4b7e79b,0.01,per_cm_2,,,,,Finishing
post_production,72324,42CrMo4 / 1.7225 / AISI 4140,Steel,Finishing,Bead Blasting,240eb0ec-58c7-460b-be44-ce9b060acfa9,0.005,per_cm_2,,,,,{{group}}
post_production,72324,42CrMo4 / 1.7225 / AISI 4140,Steel,Inspection,CMM,426ba615-8a2f-43f4-ac55-852402ada2b1,1000,per_model,,,,,Inspection
